matchId,winner_BOTTOM,winner_JUNGLE,winner_MIDDLE,winner_TOP,winner_UTILITY,loser_BOTTOM,loser_JUNGLE,loser_MIDDLE,loser_TOP,loser_UTILITY
EUW1_7139113139,Samira,Amumu,Veigar,Garen,Rell,Varus,Warwick,Heimerdinger,DrMundo,Bard
EUW1_7139202733,Lucian,Shaco,Kassadin,Chogath,Heimerdinger,Caitlyn,Kayn,Ekko,Yone,Katarina
EUW1_7139203228,Nilah,Shaco,Syndra,Chogath,Morgana,Jinx,Belveth,Leblanc,Teemo,Lulu
EUW1_7139216511,MissFortune,Shaco,Karma,Chogath,Ashe,Aphelios,Rengar,Malzahar,Fiora,Seraphine
EUW1_7139232245,Smolder,Skarner,Veigar,Yorick,Bard,Jhin,Briar,Katarina,DrMundo,Leona
EUW1_7139249159,Kaisa,Vi,Syndra,Nasus,Pantheon,Jinx,Taliyah,Katarina,Yorick,LeeSin
EUW1_7139251942,Nilah,JarvanIV,Syndra,FiddleSticks,Janna,Jhin,Talon,Lux,TahmKench,Milio
EUW1_7139272239,KogMaw,JarvanIV,Ahri,Aatrox,Soraka,Ezreal,Viego,Hwei,Jax,Lulu
EUW1_7139276659,Nilah,Brand,Zoe,Fiora,Teemo,Tristana,FiddleSticks,Akali,Nasus,Lulu
EUW1_7139302720,KogMaw,Skarner,Vex,Kennen,Lulu,Kaisa,Khazix,Syndra,Draven,Nautilus
EUW1_7139309030,Kaisa,Viego,Taliyah,Jax,Seraphine,Lucian,LeeSin,Katarina,Camille,Thresh
EUW1_7139346652,Veigar,Shyvana,Aurora,Urgot,Lux,Jhin,Diana,Irelia,Kayle,Senna
EUW1_7139516080,Jhin,Shaco,TwistedFate,Warwick,Neeko,Lucian,Udyr,AurelionSol,Garen,Brand
EUW1_7139701214,Lucian,Shyvana,Vladimir,Warwick,Lux,Ezreal,FiddleSticks,Katarina,TahmKench,Braum
EUW1_7141828751,Zeri,Nidalee,Lux,Tryndamere,Maokai,Ezreal,Sejuani,Orianna,Kennen,Velkoz
EUW1_7141918606,Caitlyn,Diana,TwistedFate,Garen,Morgana,Sivir,Evelynn,Zoe,Shen,Milio
EUW1_7141963669,Jhin,JarvanIV,AurelionSol,Smolder,Seraphine,Jinx,Warwick,Leblanc,Pantheon,Brand
EUW1_7143279123,Ezreal,Poppy,Smolder,Shen,Rakan,,Nidalee,Fizz,Renekton,Taric
EUW1_7143606081,Ziggs,Nocturne,AurelionSol,Rumble,Leblanc,Ashe,Kindred,Malphite,Jhin,Poppy
EUW1_7143624854,Kalista,Shaco,Yasuo,Aatrox,Lux,Ziggs,Warwick,Zed,Aurora,Veigar
EUW1_7144036353,Xayah,Amumu,Hwei,Fiora,Nami,Caitlyn,Lillia,Yone,Aatrox,Yuumi
EUW1_7144039356,Jhin,Warwick,Yasuo,Vladimir,Lux,Smolder,MasterYi,Velkoz,Camille,Nautilus
EUW1_7144089320,JarvanIV,Diana,Veigar,Darius,Leblanc,Twitch,Lillia,Vex,Vladimir,Ashe
EUW1_7144098494,Jhin,Warwick,Zoe,Yasuo,Brand,Lucian,Sejuani,Neeko,Volibear,Lulu
EUW1_7144132451,Lucian,Khazix,Garen,Nasus,Nami,Brand,Sejuani,Veigar,Renekton,Rell
EUW1_7152149909,Vayne,Kayn,Sylas,Kled,Sejuani,Lucian,Skarner,Fizz,Chogath,Nami
EUW1_7152725645,MissFortune,Graves,Lux,Sett,Braum,Ezreal,Lillia,Veigar,KSante,Shen
EUW1_7152738052,Yasuo,Zac,Jax,Teemo,Janna,Caitlyn,Gragas,Pantheon,Camille,Seraphine
EUW1_7152775025,Draven,Warwick,Kassadin,Gnar,Poppy,Kaisa,Sejuani,Veigar,Udyr,Pantheon
EUW1_7152781401,Jinx,Teemo,Zed,Yone,Poppy,Kaisa,Amumu,Brand,Malphite,Lux
EUW1_7152790646,Caitlyn,Shen,Sylas,TahmKench,Karma,Draven,Gragas,Kassadin,Nasus,Nami
EUW1_7152861932,Samira,Warwick,Hwei,Illaoi,Lux,Smolder,MasterYi,Chogath,Mordekaiser,Lulu
EUW1_7152987277,Jinx,Diana,Sylas,Mordekaiser,Zoe,Ashe,Graves,Veigar,Darius,Lux
EUW1_7155011116,Kaisa,JarvanIV,Lux,Jax,Bard,Jhin,LeeSin,Irelia,KSante,Blitzcrank
EUW1_7155032604,Jinx,Ekko,Fizz,Yorick,Janna,Caitlyn,LeeSin,Zed,Volibear,Lux
EUW1_7155083623,Syndra,Nidalee,Yasuo,Sett,Sona,Kaisa,Elise,Yorick,Yone,Lux
EUW1_7155388161,Caitlyn,Volibear,AurelionSol,Darius,Morgana,Vayne,Amumu,Garen,Chogath,Leona
EUW1_7155890263,Jhin,LeeSin,Akali,DrMundo,Braum,MissFortune,Kindred,Yasuo,Mordekaiser,Thresh
EUW1_7155917402,Ivern,Shyvana,Syndra,Volibear,Kayn,Jhin,Khazix,Vex,Amumu,Leona
EUW1_7155956502,Seraphine,Graves,Ahri,Senna,Velkoz,Ashe,Viego,Tristana,Nasus,Braum
EUW1_7156238312,Ezreal,Briar,Yone,Teemo,Senna,Caitlyn,Graves,Taliyah,Yorick,Milio
EUW1_7156296264,Kaisa,Amumu,Xerath,Mordekaiser,Pyke,Jinx,Sejuani,Ryze,Kayle,Braum
EUW1_7156537841,Teemo,Warwick,Pantheon,DrMundo,Lux,MissFortune,Nocturne,,Sett,Malphite
EUW1_7156786806,KogMaw,Lillia,Anivia,Chogath,Lulu,Kaisa,Teemo,Yone,Singed,Pantheon
EUW1_7157109000,MissFortune,Amumu,Diana,Garen,Blitzcrank,Caitlyn,Warwick,Yasuo,Sett,Milio
EUW1_7157245456,Lucian,Gragas,Vladimir,Jax,Pyke,MissFortune,MonkeyKing,Akali,KSante,Blitzcrank
EUW1_7160837148,Caitlyn,Zac,Yone,Teemo,Bard,Kaisa,Skarner,Malzahar,Chogath,Senna
EUW1_7161489644,Caitlyn,Viego,TwistedFate,Gnar,Swain,Zeri,LeeSin,Ziggs,Irelia,Nami
EUW1_7162993888,Ashe,Khazix,Katarina,Chogath,Rell,Aphelios,LeeSin,Ziggs,Zoe,Lulu
EUW1_7163065981,Lucian,Zac,Ryze,KSante,Nami,Ezreal,LeeSin,Ziggs,Ahri,Lux
EUW1_7164929188,Caitlyn,Vi,Ziggs,Gnar,Thresh,Vayne,Udyr,Syndra,Aatrox,Zilean
EUW1_7165575425,Draven,Warwick,Zed,Kayle,Pyke,MissFortune,Vi,Syndra,Yone,Rell
EUW1_7165593033,Lucian,Warwick,Gragas,Mordekaiser,Nami,Samira,Sejuani,Vex,Darius,Braum
EUW1_7165616326,Tristana,Diana,Yone,Fiora,Soraka,Caitlyn,Warwick,Lux,Vladimir,Pyke
EUW1_7166011229,Heimerdinger,FiddleSticks,Brand,Mordekaiser,Lux,Caitlyn,MasterYi,Jhin,Kayle,Lux
EUW1_7166825416,Jinx,Warwick,Malzahar,Chogath,Morgana,Taliyah,Volibear,Orianna,DrMundo,Shen
EUW1_7166844576,Corki,Warwick,Syndra,Kennen,Nautilus,Ezreal,Viego,Malzahar,Irelia,Ziggs
EUW1_7166856462,Morgana,Belveth,Zed,Volibear,,Yasuo,Jax,Qiyana,Gwen,Nautilus
EUW1_7166899092,Samira,Warwick,Vex,Malphite,Thresh,MissFortune,Volibear,Katarina,Riven,Senna
EUW1_7166899682,MissFortune,Graves,Syndra,Malphite,Zyra,Caitlyn,Volibear,Ahri,DrMundo,Alistar
EUW1_7167502305,Jhin,Talon,Yasuo,Teemo,Senna,Ashe,Viego,Vex,DrMundo,Thresh
EUW1_7167564501,Jhin,Kayn,Ahri,Kled,Braum,Tristana,Volibear,Neeko,Poppy,Karma
EUW1_7167654924,Varus,FiddleSticks,Annie,Sett,Darius,Jinx,Volibear,Syndra,Gnar,Leona
EUW1_7167813586,Heimerdinger,Kindred,TahmKench,FiddleSticks,Thresh,Vayne,JarvanIV,Zed,Gragas,Rakan
EUW1_7168048576,Caitlyn,Jax,TahmKench,Yorick,Nautilus,Jinx,MasterYi,Ahri,Gragas,Hwei
EUW1_7168381648,Heimerdinger,Shaco,Vex,Renekton,Blitzcrank,Jhin,Nunu,Lux,Akali,Pantheon
EUW1_7168441298,Teemo,Briar,TahmKench,Darius,Thresh,Ziggs,Gwen,Malzahar,Jax,LeeSin
EUW1_7168480458,Caitlyn,Warwick,Orianna,Pantheon,Karma,Kaisa,Rammus,Ahri,Yorick,Poppy
EUW1_7168643471,MissFortune,Trundle,Velkoz,Darius,Brand,Lucian,RekSai,Smolder,Mordekaiser,Shen
EUW1_7168950705,Smolder,Kayn,Veigar,Poppy,TahmKench,Jhin,Graves,Katarina,Zac,Senna
EUW1_7169168842,Tryndamere,Evelynn,,,,Varus,Ekko,Lux,Cassiopeia,Poppy
EUW1_7169178388,,Yorick,Lucian,,MissFortune,Seraphine,Ekko,,Smolder,Ziggs
EUW1_7169239601,Lucian,,MissFortune,Renekton,Lux,Seraphine,Lillia,,Irelia,Veigar
EUW1_7169303605,Lucian,Nunu,Yone,Mordekaiser,Sona,Jinx,Kindred,Senna,Sett,Neeko
